from,to,text,type_link
Bodderings,Bodderings,"#ToryShambles #AlevelResults #ALevelProtests 
To all those shafted by this government, here's what you have to do now:

4) Placard and protest, placard and protest, placard and protest.",reply
Bodderings,Bodderings,"#ToryShambles #AlevelResults #ALevelProtests 

To all those shafted by this government, here's what you have to do now:

3) If your parents voted Tory, look them in the eye and ask they why they voted for the few, not the many.",reply
_meganbradbury,_meganbradbury,It's making me think about how many young lives have been destroyed by this government's ongoing malice and incompetence. How much more of this can we take? #AlevelResults #Covid_19 #Brexit 2/2,reply
GlynWashington1,GrationHarry,@GrationHarry well done Harry. Proper journalism challenging  ridiculous government policy #AlevelResults,reply
Bodderings,Bodderings,"#ToryShambles #AlevelResults #ALevelProtests 
To all those shafted by this government, here's what you have to do now:

2) If you had an unconditional offer, lobby your university. Hassle them. Some are honouring their offers. They've set a precedent.",reply
sarah_tlynch,BBCNews,"@BBCNews Let me get this right... Kids from deprived areas disproportionately downgraded &amp; then forced to PAY TO â€˜RE-SITâ€™ an exam they havenâ€™t actually sat? So, ur from a so-called â€˜poor areaâ€™, letâ€™s double screw u over by pricing kids out of attaining a true grade??!! #AlevelResults ðŸ˜¤",reply
sarah_tlynch,BBCWalesNews,"@BBCWalesNews @BBCNews Let me get this right... Kids from deprived areas disproportionately downgraded &amp; then forced to PAY TO â€˜RE-SITâ€™ an exam they havenâ€™t actually sat? So, ur from a so-called â€˜poor areaâ€™, letâ€™s double screw u over by pricing kids out of attaining a true grade??!! #AlevelResults ðŸ˜¤",reply
sarah_tlynch,SkyNews,"@SkyNews Let me get this right... Kids from deprived areas disproportionately downgraded &amp; then forced to PAY TO â€˜RE-SITâ€™ an exam they havenâ€™t actually sat? So, ur from a so-called â€˜poor areaâ€™, letâ€™s double screw u over by pricing kids out of attaining a true grade??!! #AlevelResults ðŸ˜¤",reply
SloTaylor,GavinWilliamson,"@GavinWilliamson #AlevelResults we know that children we expect to fail do fail, those we expect to be outstanding become excellent. So here's an idea: why not allow all A- level students into first year university, where there is space, and see how they perform?",reply
ChristineJameis,lewis_goodall,@lewis_goodall @earthygirl011 #AlevelResults,reply
MichaelSadgrove,MichaelSadgrove,"Seems that Oxford colleges vary in their response to students successful in their #AlevelResults appeals. What is @BalliolOxfordâ€™s policy on this, please?",reply
JRoberts2980,JRoberts2980,Our Ilford South MP @SamTarry has offered to help where possible which is great but he shouldnâ€™t have too! #AlevelResults,reply
CUH_NHS,CUH_NHS,"If you've just received your #AlevelResults results and are considering a career in helping to save lives, visit for the vacancies available at our hospitals. https://t.co/rx5jApLkLz",reply
stebuckley,GavinWilliamson,@GavinWilliamson if the @guardian exclusive on 2 million GCSE downgrades is accurate - will you do the decent thing and resign? #ResignWilliamson #examshambles #AlevelResults #alevels2020,reply
JustJulz8,JustJulz8,"@McCrossanMLA @peterweirmla To say that this option was chosen in the â€œtime availableâ€ - kids have been out of school since March ?! 

Meanwhile Scotland &amp; Wales are doing something different and NI kids being disadvantaged 

Absolute shambles 

#alevels2020 #AlevelResults",reply
talprofs,mrjamesob,"@mrjamesob sets out the hypocrisy of of privilege, private education and preferment in the UK, in light of the current #AlevelResults debacle. #feudalism https://t.co/DbTZyy5xH8",reply
MJD273,jessphillips,@jessphillips I applaud your constituent's generosity but urge you &amp; all decent minded MPs to ensure that no young person or their families has to pay a penny to appeal or a penny to resit the missed exams. For Dept of Ed to make money from their own debacle would be pure evil. #AlevelResults,reply
davinajxyne,davinajxyne,#AlevelResults #examshambles #ExamResults,reply
Ifindoubtaskrod,Ifindoubtaskrod,"Ok I see, thanks Quora for answering my question.#examshambles #ToryShambles #downingstreet #AlevelResults https://t.co/RU27JnyeEj",reply
ROBANDTHEMOB,AaronBell4NUL,"@AaronBell4NUL your silence speaks volumes regarding the #ALevelResults fiasco ! When are you going to step up and represent your constituents, whose childrenâ€™s grades have been moderated by one grade per subject ? This is your time to act and resolve this farce",reply
JenLou102,JenLou102,"My grades weren't based on where I went to school, or where I lived.
I still got to be the 1st in my family to go to uni. Many of today's teenagers have had this chance taken away by #OFQUAL's deeply flawed algorithm. I'm livid for them, and you should be too. #AlevelResults",reply
mathswithin10,mathswithin10,"We needed a law requiring unis to accept all who dropped 1 grade in 1-2 subjects &amp; a robust, free appeals system ready to tackle the clear injustices of the algorithm that we all saw coming.

Instead @educationgovuk sat around and did nothing. Just awful. (2/2)

#AlevelResults",reply
